-0.0189,-0.0169,-0.0699,-0.0622,-0.0842,-0.1900,-0.2590,-0.2525,-0.3771,-0.3202,-0.6458,-0.7182,-0.7799,-0.7042,-0.8191,-0.8211,-0.7734,-0.7133,-0.5595,-0.6590,-0.4723,-0.4077,-0.2667,-0.1787,-0.1004,-0.1129,-0.0519,-0.0743,-0.0266,-0.0094
-0.0254,-0.0228,-0.0936,-0.0833,-0.1127,-0.2532,-0.3444,-0.3359,-0.5003,-0.4254,-0.8524,-0.9465,-1.0259,-0.9284,-1.0752,-1.0754,-1.0104,-0.9303,-0.7271,-0.8583,-0.6127,-0.5282,-0.3444,-0.2303,-0.1289,-0.1450,-0.0665,-0.0953,-0.0340,-0.0120
-0.0299,-0.0268,-0.1091,-0.0972,-0.1312,-0.2927,-0.3969,-0.3872,-0.5738,-0.4889,-0.9679,-1.0713,-1.1570,-1.0515,-1.2079,-1.2024,-1.1243,-1.0315,-0.8007,-0.9492,-0.6723,-0.5780,-0.3744,-0.2490,-0.1385,-0.1560,-0.0709,-0.1020,-0.0360,-0.0126
-0.0311,-0.0279,-0.1124,-0.1003,-0.1350,-0.2987,-0.4034,-0.3936,-0.5800,-0.4954,-0.9669,-1.0661,-1.1465,-1.0472,-1.1912,-1.1790,-1.0956,-1.0007,-0.7701,-0.9179,-0.6436,-0.5514,-0.3541,-0.2338,-0.1289,-0.1454,-0.0654,-0.0945,-0.0330,-0.0114
-0.0310,-0.0278,-0.1107,-0.0989,-0.1326,-0.2903,-0.3900,-0.3807,-0.5565,-0.4771,-0.9129,-1.0011,-1.0701,-0.9845,-1.1042,-1.0837,-0.9980,-0.9055,-0.6876,-0.8264,-0.5706,-0.4862,-0.3079,-0.2010,-0.1092,-0.1236,-0.0546,-0.0795,-0.0271,-0.0091
-0.0308,-0.0276,-0.1093,-0.0977,-0.1308,-0.2851,-0.3823,-0.3733,-0.5437,-0.4668,-0.8855,-0.9688,-1.0327,-0.9532,-1.0622,-1.0386,-0.9525,-0.8615,-0.6500,-0.7844,-0.5375,-0.4568,-0.2873,-0.1865,-0.1006,-0.1139,-0.0498,-0.0729,-0.0245,-0.0082
-0.0293,-0.0264,-0.1012,-0.0907,-0.1205,-0.2560,-0.3389,-0.3312,-0.4728,-0.4096,-0.7371,-0.7943,-0.8318,-0.7840,-0.8381,-0.7984,-0.7109,-0.6287,-0.4523,-0.5625,-0.3641,-0.3027,-0.1798,-0.1109,-0.0556,-0.0639,-0.0253,-0.0388,-0.0114,-0.0032
-0.0285,-0.0256,-0.0962,-0.0864,-0.1141,-0.2373,-0.3109,-0.3042,-0.4268,-0.3726,-0.6397,-0.6793,-0.6991,-0.6726,-0.6896,-0.6388,-0.5500,-0.4733,-0.3200,-0.4143,-0.2478,-0.1994,-0.1075,-0.0599,-0.0252,-0.0302,-0.0087,-0.0157,-0.0024,0.0001
-0.0283,-0.0256,-0.0897,-0.0811,-0.1051,-0.2036,-0.2568,-0.2521,-0.3308,-0.2977,-0.4148,-0.4079,-0.3790,-0.4109,-0.3238,-0.2374,-0.1377,-0.0706,0.0298,-0.0269,0.0622,0.0778,0.0890,0.0798,0.0589,0.0631,0.0377,0.0484,0.0227,0.0097
-0.0339,-0.0307,-0.1027,-0.0934,-0.1193,-0.2194,-0.2681,-0.2640,-0.3262,-0.3021,-0.3325,-0.2902,-0.2197,-0.3008,-0.1202,0.0094,0.1369,0.2104,0.2919,0.2514,0.3017,0.2963,0.2507,0.1980,0.1322,0.1440,0.0791,0.1051,0.0456,0.0185
-0.0316,-0.0286,-0.0965,-0.0877,-0.1123,-0.2087,-0.2566,-0.2525,-0.3159,-0.2908,-0.3380,-0.3044,-0.2448,-0.3131,-0.1578,-0.0415,0.0759,0.1456,0.2282,0.1857,0.2422,0.2413,0.2090,0.1670,0.1126,0.1225,0.0679,0.0899,0.0393,0.0161
-0.0333,-0.0302,-0.1013,-0.0921,-0.1177,-0.2168,-0.2652,-0.2611,-0.3233,-0.2991,-0.3324,-0.2917,-0.2234,-0.3020,-0.1264,0.0005,0.1258,0.1984,0.2799,0.2392,0.2903,0.2857,0.2426,0.1919,0.1283,0.1398,0.0769,0.1021,0.0443,0.0181
-0.0385,-0.0349,-0.1161,-0.1057,-0.1347,-0.2459,-0.2989,-0.2945,-0.3604,-0.3353,-0.3533,-0.3000,-0.2145,-0.3132,-0.0963,0.0551,0.2014,0.2839,0.3708,0.3289,0.3774,0.3677,0.3069,0.2407,0.1596,0.1742,0.0951,0.1266,0.0546,0.0222
-0.0366,-0.0332,-0.1107,-0.1007,-0.1284,-0.2348,-0.2858,-0.2815,-0.3453,-0.3209,-0.3418,-0.2922,-0.2120,-0.3045,-0.1006,0.0426,0.1815,0.2603,0.3442,0.3034,0.3516,0.3431,0.2873,0.2256,0.1498,0.1635,0.0894,0.1189,0.0513,0.0208
-0.0430,-0.0390,-0.1296,-0.1180,-0.1504,-0.2741,-0.3331,-0.3282,-0.4010,-0.3733,-0.3908,-0.3304,-0.2340,-0.3453,-0.1011,0.0687,0.2323,0.3244,0.4205,0.3743,0.4272,0.4158,0.3464,0.2714,0.1798,0.1963,0.1071,0.1426,0.0614,0.0249
